curve_id,relative_intensity,gamma_1,gamma_2,peak_distance,fit_success
0,0.6126908611639349,0.09560577982219261,0.03337484219749955,0.21459375403461678,0
1,0.2567436662400629,0.06379642431462515,0.0017894937585848096,0.288659377274165,1
2,0.5119900018682881,0.07461934152302842,0.08762862510378397,0.3751243616601574,0
3,0.371984047114572,0.030783620494567628,0.07377885689691162,0.2661907137130367,1
4,0.9235085374580232,0.03788494686273831,0.08147510860805689,0.06628224244497527,0
5,0.4849832656809335,0.05802342058717447,0.04012997360091833,0.03963646100165086,0
6,0.42609265199412805,0.0362780330106556,0.009362828065933151,0.1545901742718473,0
7,0.5773773019898255,0.07497288756976815,0.04808223478414689,0.21156762631773263,0
8,0.6973081336791614,0.09313604808070794,0.06993483020449835,0.09912260854769805,1
9,0.6111907788787718,0.05537164258184621,0.0542096932313831,0.2127593196346665,0
10,0.19184515900882607,0.022686119201037618,0.06922496329898584,0.012843974895712984,1
11,0.09016731910475047,0.08795210342133095,0.07100018163003097,0.21264054298599716,1
12,0.5572914972044534,0.06451177160766756,0.08373854788700216,0.00394465811582384,1
13,0.11689613465961063,0.020039956827964597,0.015140330962578146,0.3016948051861138,1
14,0.3640777807858128,0.025531618703213736,0.043490633553542775,0.05188144466446798,0
15,0.9019519222422561,0.04757836181659002,0.06253824981022489,0.18993056171070694,0
16,0.8113316243204451,0.08346157682353297,0.0863396976742455,0.09105255449139432,0
17,0.11626443859728289,0.07304224184878731,0.017011704157912318,0.004863229174322747,1
18,0.5515529413304133,0.027929539164291816,0.05053734472652429,0.21528232374373613,1
19,0.6695426884504235,0.011534582904092209,0.026106792423729104,0.27570730741307353,1
20,0.19968035900748476,0.08104951600332244,0.05731309347818321,0.21665061937125146,1
21,0.6295962416157405,0.028049523474223608,0.06503005526652131,0.3901776931437031,0
22,0.19793602664984505,0.061579228674422504,0.062017966471788796,0.1098249014930841,1
23,0.25862683393283176,0.032108790362722614,0.04154416142041133,0.2999009891171883,1
24,0.6518323135168704,0.09926073490582112,0.04871716433330549,0.10550123278923085,0
25,0.8955715505112403,0.09539140814651068,0.010737363578630706,0.23306192848713558,0
26,0.370617023482662,0.031163920566536586,0.007519224007560877,0.035367546696716656,1
27,0.35751451458181877,0.09217577038936982,0.0636240237979931,0.053500792579400214,0
28,0.5507060966144828,0.06156155424707955,0.0014946629455445267,0.29769131664237036,1
29,0.9289027046919736,0.06513783004642701,0.05700898779783406,0.19949177114459388,1
30,0.26673332665303007,0.047007854804691857,0.0792035447045804,0.08252765096600562,0
31,0.1515606344626697,0.04316048845281266,0.08813991319842819,0.22451849067781948,1
32,0.4903485941311788,0.03790729211080205,0.016354052069910148,0.01046174361134189,1
33,0.4900535072081862,0.05377557984164867,0.06499709820280833,0.0782078788196292,0
34,0.4890339933294283,0.0661392382356043,0.004173092983303704,0.04741123003295855,1
35,0.5463693945103384,0.03519129030728242,0.01231382755685963,0.03216640985327501,0
36,0.731386487235369,0.09115108678925142,0.0479686552868859,0.1574515060541135,0
37,0.269950507855874,0.022193356632621026,0.0793561013695531,0.28770847805749417,1
38,0.4692393480331168,0.019728046463692424,0.09766924508074286,0.17170967529648284,1
39,0.7960010041576664,0.08229808459681029,0.06237593934306078,0.3019334918976901,0
40,0.3204796956300544,0.031478539691789424,0.04223977249185836,0.13002177840949308,0
41,0.0701291388706822,0.03160637875950421,0.03508364442004229,0.060474105008639145,1
42,0.42044005848316535,0.06279224884323292,0.05448117638263107,0.28864718701636227,1
43,0.11511065019490405,0.016814423376467717,0.005274855358988845,0.16857048123748275,1
44,0.7725466682577186,0.06309563552667996,0.04303580592677226,0.3600478671442075,1
45,0.7751355386862222,0.05033849378234304,0.047463670243625584,0.03930375055541352,0
46,0.24561590773213351,0.007707137844861991,0.09523800851141036,0.15653213651359854,0
47,0.49940732341016303,0.08444343728571922,0.022395163911361822,0.01046154965569912,1
48,0.729327503990089,0.02473778263804055,0.059674078911783696,0.43075234532745316,1
49,0.9009131887912453,0.09619038731314052,0.03417206317296074,0.03352089139536418,1
50,0.928844531706398,0.04306185096570849,0.05677677721587009,0.07474082408365984,0
51,0.4069005482555847,0.05028596019295996,0.020873539546877453,0.4034624079842146,1
52,0.7380127904809601,0.042045248926878304,0.07960192435646048,0.18088912297018822,0
53,0.16374655821823336,0.05710998088948765,0.08885626558795726,0.09706810741393213,1
54,0.8418941740824045,0.019851172410704578,0.039197951148111775,0.09989502689315544,0
55,0.8137412710352617,0.06977829788567581,0.0906725203160203,0.20749422202713175,1
56,0.9650925654160254,0.06289535620526686,0.0651352817583772,0.3123874957883796,0
57,0.17569846748047868,0.018801943123927484,0.0260510328779315,0.2870170810822535,1
58,0.35979198210259805,0.08316976840734434,0.06095206896934829,0.2693313578461615,1
59,0.8171637088708653,0.07524587398798036,0.03946900496158987,0.05193681121161425,0
60,0.4594658093822292,0.09898416360485474,0.05363817316330247,0.07198868047660895,1
61,0.3326637611264494,0.041942996937624745,0.02980491143907911,0.2325960387791044,1
62,0.19034385143181792,0.08807201040902958,0.03583010549815668,0.17232472090411116,0
63,0.9671563053978992,0.0921715878811179,0.06501112168514654,0.07619712405538565,0
64,0.9897846747434615,0.017669460849758737,0.0894144008953885,0.01799904267139374,1
65,0.6398009711980732,0.0930036979251251,0.06880415982801898,0.27132541426973994,0
66,0.3155803177798753,0.054082141947100995,0.06844349983580257,0.22741343482543952,0
67,0.06113766321291062,0.018158622305029723,0.056245190535309325,0.2626600710381583,1
68,0.6678200304567385,0.0678746046490501,0.0664410976529841,0.12871265711403074,0
69,0.8310590778350264,0.09890178924392072,0.004759537748574308,0.439209902768802,0
70,0.6107522840836122,0.037763199233256654,0.0776580071660828,0.13352826858090588,0
71,0.7810148872617988,0.03258666116341378,0.07233450620792263,0.16187610556454185,1
72,0.8237400097479274,0.0836919517604236,0.09338290604616153,0.18306660973020106,1
73,0.4764124991776714,0.075338215853856,0.07248025296989279,0.3341107664127575,1
74,0.47938514345728594,0.06943023438312672,0.020338051407870966,0.1696627167355717,0
75,0.731950367674633,0.09262074896823735,0.023204716797139445,0.22588620514074997,1
76,0.4463356122663321,0.06463239987597802,0.09003504935639933,0.17483627419326364,0
77,0.9264380993159452,0.09054721010061095,0.05292636622837658,0.2845700212351107,0
78,0.16040456240477294,0.012099800802421328,0.06977378697297133,0.17809516058025732,1
79,0.2203551672749102,0.09289198055839287,0.036640990273572205,0.19029745326161251,1
80,0.9694383260883691,0.018804310414686824,0.09971017237332354,0.02066708195141148,1
81,0.9534088921528469,0.04720233388955133,0.08096583109237933,0.11194205141777341,1
