curve_id,peak_id,center,gamma,amplitude
0,0,0.3210843883424438,0.09560577982219261,0.5712995151762202
0,1,0.5356781423770606,0.03337484219749955,0.9324433435989512
1,0,0.39598632317274307,0.06379642431462515,0.1559257912314153
1,1,0.6846457004469081,0.0017894937585848096,0.6073208874629846
2,0,0.37199581305538776,0.07461934152302842,0.30828427046915374
2,1,0.7471201747155451,0.08762862510378397,0.6021294739041825
3,0,0.27412398615769074,0.030783620494567628,0.41644160408520176
3,1,0.5403146998707274,0.07377885689691162,0.15490963327449764
4,0,0.263972671116734,0.03788494686273831,0.751795104499176
4,1,0.3302549135617093,0.08147510860805689,0.6942891974241358
5,0,0.5362343806937073,0.05802342058717447,0.39360113883441283
5,1,0.5758708416953582,0.04012997360091833,0.8115767423063207
6,0,0.25693281226171244,0.0362780330106556,0.31978626410021394
6,1,0.41152298653355973,0.009362828065933151,0.7505087510981553
7,0,0.43608160142685426,0.07497288756976815,0.4583862995883738
7,1,0.6476492277445869,0.04808223478414689,0.7939111877253039
8,0,0.6472157104465649,0.09313604808070794,0.349783027699391
8,1,0.746338318994263,0.06993483020449835,0.5016190272352821
9,0,0.3699664194933731,0.05537164258184621,0.46289434753926667
9,1,0.5827257391280396,0.0542096932313831,0.2829167568111053
10,0,0.6242600178987743,0.022686119201037618,0.9292568544485605
10,1,0.6371039927944873,0.06922496329898584,0.17827342900172563
11,0,0.4765859494716849,0.08795210342133095,0.08064223284857372
11,1,0.6892264924576821,0.07100018163003097,0.8943620998079013
12,0,0.38490313015912675,0.06451177160766756,0.24391976770415355
12,1,0.3888477882749506,0.08373854788700216,0.43768794056204086
13,0,0.43120309080106656,0.020039956827964597,0.7708611005072482
13,1,0.7328978959871804,0.015140330962578146,0.09011068300875093
14,0,0.5343684024054807,0.025531618703213736,0.31987192411385756
14,1,0.5862498470699486,0.043490633553542775,0.8785812839867819
15,0,0.3745211562444995,0.04757836181659002,0.85415494147824
15,1,0.5644517179552064,0.06253824981022489,0.7704066913590203
16,0,0.3511202663667572,0.08346157682353297,0.9855442770379929
16,1,0.4421728208581515,0.0863396976742455,0.7996032391289535
17,0,0.3392362149773815,0.07304224184878731,0.07683985457760784
17,1,0.34409944415170424,0.017011704157912318,0.6609059098781352
18,0,0.3209391617520869,0.027929539164291816,0.5769579607043763
18,1,0.536221485495823,0.05053734472652429,0.3182228602504958
19,0,0.36253785646218134,0.011534582904092209,0.46132491857127544
19,1,0.6382451638752549,0.026106792423729104,0.6890149448707398
20,0,0.43139085727068177,0.08104951600332244,0.5855289541159324
20,1,0.6480414766419332,0.05731309347818321,0.11691863176714645
21,0,0.3177291044016023,0.028049523474223608,0.8317832145829814
21,1,0.7079067975453054,0.06503005526652131,0.5236875857405041
22,0,0.3351527697184453,0.061579228674422504,0.5451385287746828
22,1,0.4449776712115294,0.062017966471788796,0.10790255435940295
23,0,0.27099499866920074,0.032108790362722614,0.725731990133705
23,1,0.5708959877863891,0.04154416142041133,0.18769376689205322
24,0,0.519861894976356,0.09926073490582112,0.17741510776743724
24,1,0.6253631277655869,0.04871716433330549,0.2721790621428673
25,0,0.43337593569784727,0.09539140814651068,0.9902540630047008
25,1,0.6664378641849829,0.010737363578630706,0.8868433666051753
26,0,0.26210749758495977,0.031163920566536586,0.32650915255511903
26,1,0.2974750442816764,0.007519224007560877,0.880988006128093
27,0,0.6046297276288862,0.09217577038936982,0.8620500300001135
27,1,0.6581305202082864,0.0636240237979931,0.30819539802073287
28,0,0.3466615209404146,0.06156155424707955,0.4045786185870066
28,1,0.6443528375827849,0.0014946629455445267,0.7346543302756071
29,0,0.4791123397036083,0.06513783004642701,0.8309223442786433
29,1,0.6786041108482022,0.05700898779783406,0.771846012989427
30,0,0.48470850602195487,0.047007854804691857,0.2664203927948686
30,1,0.5672361569879605,0.0792035447045804,0.9988267913046781
31,0,0.3556729316082605,0.04316048845281266,0.8739867535502488
31,1,0.58019142228608,0.08813991319842819,0.13246198688004465
32,0,0.6742730488728745,0.03790729211080205,0.3587971895611134
32,1,0.6847347924842164,0.016354052069910148,0.7317186056112713
33,0,0.6075455518094186,0.05377557984164867,0.07926877706326917
33,1,0.6857534306290478,0.06499709820280833,0.16175535099189473
34,0,0.6698112904099176,0.0661392382356043,0.8523553629206604
34,1,0.7172225204428762,0.004173092983303704,0.41683074686484467
35,0,0.5013610903951238,0.03519129030728242,0.4945625679658385
35,1,0.5335275002483988,0.01231382755685963,0.9051798525594031
36,0,0.5160760196215795,0.09115108678925142,0.4892047415262709
36,1,0.673527525675693,0.0479686552868859,0.6688730924951296
37,0,0.286422275234065,0.022193356632621026,0.17611359426202022
37,1,0.5741307532915592,0.0793561013695531,0.6523921575878157
38,0,0.512297257102895,0.019728046463692424,0.9293834948803298
38,1,0.6840069323993778,0.09766924508074286,0.4361033052103855
39,0,0.34556580686725674,0.08229808459681029,0.7188110968633746
39,1,0.6474992987649468,0.06237593934306078,0.9030278769861922
40,0,0.36807958872942265,0.031478539691789424,0.725443847894553
40,1,0.49810136713891573,0.04223977249185836,0.23249002356994183
41,0,0.25810884652738925,0.03160637875950421,0.2078899315537024
41,1,0.3185829515360284,0.03508364442004229,0.014579141879746214
42,0,0.36161310985064443,0.06279224884323292,0.5231245712348419
42,1,0.6502602968670067,0.05448117638263107,0.21994252532395772
43,0,0.44999018329883056,0.016814423376467717,0.07858129674474855
43,1,0.6185606645363133,0.005274855358988845,0.6826587862347714
44,0,0.38896790725123237,0.06309563552667996,0.21668180678270946
44,1,0.7490157743954399,0.04303580592677226,0.2804773040719726
45,0,0.34893878239648557,0.05033849378234304,0.7625053258762727
45,1,0.3882425329518991,0.047463670243625584,0.5910449765242181
46,0,0.3143889965881694,0.007707137844861991,0.6343250777451964
46,1,0.4709211331017679,0.09523800851141036,0.15580032976764258
47,0,0.2678974820144325,0.08444343728571922,0.6408916214709469
47,1,0.2783590316701316,0.022395163911361822,0.32006596927480496
48,0,0.3151062547268489,0.02473778263804055,0.6319472450292786
48,1,0.745858600054302,0.059674078911783696,0.8664793821320993
49,0,0.6431523925389391,0.09619038731314052,0.5410860390346968
49,1,0.6766732839343033,0.03417206317296074,0.6005973114464798
50,0,0.48301816520450375,0.04306185096570849,0.5076719494548088
50,1,0.5577589892881636,0.05677677721587009,0.5465628876795505
51,0,0.2821638299227842,0.05028596019295996,0.6732503756562634
51,1,0.6856262379069988,0.020873539546877453,0.27394594696781194
52,0,0.3106042187359408,0.042045248926878304,0.6121347998760879
52,1,0.491493341706129,0.07960192435646048,0.8294365731482268
53,0,0.282494114103961,0.05710998088948765,0.6466752009876009
53,1,0.37956222151789315,0.08885626558795726,0.10589083844680394
54,0,0.5072652579243111,0.019851172410704578,0.3012482001376943
54,1,0.6071602848174665,0.039197951148111775,0.25361910464873505
55,0,0.4172478212235675,0.06977829788567581,0.4796417794374886
55,1,0.6247420432506993,0.0906725203160203,0.5894278642488865
56,0,0.2803348381570246,0.06289535620526686,0.3977296180323321
56,1,0.5927223339454042,0.0651352817583772,0.38384589740875924
57,0,0.4374661434456338,0.018801943123927484,0.5267909020772177
57,1,0.7244832245278873,0.0260510328779315,0.09255635417762606
58,0,0.4442380265333042,0.08316976840734434,0.3201888193575044
58,1,0.7135693843794657,0.06095206896934829,0.8899276117448319
59,0,0.2881672244100526,0.07524587398798036,0.5401553127747527
59,1,0.34010403562166686,0.03946900496158987,0.4413953187533192
60,0,0.3015301985535798,0.09898416360485474,0.359360511141524
60,1,0.37351887903018877,0.05363817316330247,0.7821267737521082
61,0,0.5006206146887793,0.041942996937624745,0.24602534286843344
61,1,0.7332166534678837,0.02980491143907911,0.7395615982797606
62,0,0.3835336982514292,0.08807201040902958,0.1502111725674889
62,1,0.5558584191555404,0.03583010549815668,0.7891569464291063
63,0,0.33722783303629705,0.0921715878811179,0.7398811638801144
63,1,0.4134249570916827,0.06501112168514654,0.715580732891789
64,0,0.49806691247692847,0.017669460849758737,0.7053711572852699
64,1,0.5160659551483222,0.0894144008953885,0.7126511202732981
65,0,0.3243686328988515,0.0930036979251251,0.7348852782616381
65,1,0.5956940471685914,0.06880415982801898,0.47018031475096234
66,0,0.45806426218348895,0.054082141947100995,0.2557140289149723
66,1,0.6854776970089285,0.06844349983580257,0.8102977736822575
67,0,0.4833586919257194,0.018158622305029723,0.7048647293533774
67,1,0.7460187629638777,0.056245190535309325,0.04309378243386618
68,0,0.4638605167338073,0.0678746046490501,0.6526118551046531
68,1,0.592573173847838,0.0664410976529841,0.977227135068584
69,0,0.289866571679699,0.09890178924392072,0.9732758435197827
69,1,0.729076474448501,0.004759537748574308,0.8088497249946581
70,0,0.4335252533712947,0.037763199233256654,0.46930926300417597
70,1,0.5670535219522006,0.0776580071660828,0.2866317043213971
71,0,0.3044734956628058,0.03258666116341378,0.3730941898387498
71,1,0.46634960122734764,0.07233450620792263,0.29139211661494335
72,0,0.3475837627574069,0.0836919517604236,0.9546529217164308
